seed,round,policy,material_id,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,absolute_error_ev,target_hit,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,selection_reason,signal_level,signal_types,signal_rule_version,manual_review_required,budget_used,budget_total
1010,2,iterative,mp-1018809,1.472936,0.060715,1.3361,0.136836,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,2,3
1010,3,iterative,mp-1023939,1.583009,0.065999,1.5539,0.029109,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,3,3
1011,1,random,mp-1025874,1.531208,0.075739,1.5093,0.021908,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1011,2,random,mp-1018809,1.460253,0.061259,1.3361,0.124153,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,2,3
1011,3,random,mp-1023939,1.510798,0.261933,1.5539,0.043102,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,3,3
1011,1,static_topn,mp-1025874,1.531208,0.075739,1.5093,0.021908,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1011,2,static_topn,mp-1023939,1.542711,0.06841,1.5539,0.011189,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1011,3,static_topn,mp-2815,1.459743,0.080764,1.4648999999999996,0.005157,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,highest target score from frozen initial model,D0,technical_event_only,0.2.0,False,3,3
1011,1,iterative,mp-1025874,1.531208,0.075739,1.5093,0.021908,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1011,2,iterative,mp-1018809,1.460253,0.061259,1.3361,0.124153,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,2,3
